Itemname,Effectnum,Unixtime,Value
Dread Knot,43,1683825262,623.3409
Dread Knot,44,1675713941,343.63665000000003
Dread Knot,45,1362976230,48.86
Dread Knot,47,1488107902,54.34254000000001
Dread Knot,56,1625842667,11.188170000000001
Dread Knot,57,1639689229,11.188170000000001
Dread Knot,58,1636600848,12.786480000000001
Dread Knot,59,1669099470,12.786480000000001
Dread Knot,6,1556552225,12.786480000000001
Dread Knot,60,1594490299,10.389015
Dread Knot,61,1712507827,15.9831
Dread Knot,62,1549658596,15.9831
Dread Knot,63,1519736002,36.76113
Dread Knot,64,1442273507,38.359440000000006
Dread Knot,7,1593231775,11.987325
Dread Knot,70,1671664991,303.6789
Dread Knot,71,1651709261,175.81410000000002
Dread Knot,73,1385088605,93.07
Dread Knot,8,1673206723,23.97465
Dread Knot,9,1675742876,54.34254000000001
Dread Knot,67,1641232842,20.77803
Dread Knot,80,1601662617,241.34481000000002
Dread Knot,66,1644050989,22.376340000000003
Dread Knot,78,1727885092,927.0198
Dread Knot,85,1419115087,35.16282
Dread Knot,68,1677316897,31.9662
Dread Knot,87,1626352848,71.92395
Dread Knot,89,1727341936,119.87325000000001
Dread Knot,75,1426137117,35.16282
Dread Knot,88,1726848155,102.29184000000001
Dread Knot,86,1441956402,78.31719000000001
Dread Knot,90,1720177678,97.49691000000001
Dread Knot,108,1479812095,89.50536000000001
Dread Knot,109,1675654176,127.8648
Dread Knot,65,1653079351,30.367890000000003
Dread Knot,82,1727423121,335.6451
Samur-Eye,10,1709152012,185.40396
Samur-Eye,11,1723450371,68.72733000000001
Samur-Eye,12,1714807969,33.564510000000006
Samur-Eye,13,1717826810,447.52680000000004
Samur-Eye,14,1727444005,479.49300000000005
Samur-Eye,15,1600946843,43.15437
Samur-Eye,16,1723927747,89.50536000000001
Samur-Eye,17,1693378101,319.66200000000003
Samur-Eye,18,1692634767,57.53916
Samur-Eye,19,1734344729,97.49691000000001
Samur-Eye,29,1736083143,51.145920000000004
Samur-Eye,30,1711813413,52.74423
Samur-Eye,31,1587891542,12.786480000000001
Samur-Eye,32,1694612166,30.367890000000003
Samur-Eye,33,1610787534,22.376340000000003
Samur-Eye,34,1719777853,28.76958
Samur-Eye,35,1724887806,31.9662
Samur-Eye,36,1708516700,28.76958
Samur-Eye,37,1625298926,124.66818
Samur-Eye,38,1648973638,367.6113
Samur-Eye,39,1608974341,86.30874
Samur-Eye,40,1710889793,460.31328
Samur-Eye,43,1677097943,2173.7016000000003
Samur-Eye,45,1707385904,1518.3945
Samur-Eye,47,1604131625,455.51835000000005
Samur-Eye,57,1562963379,19.179720000000003
Samur-Eye,58,1681547969,57.53916
Samur-Eye,59,1682977346,28.76958
Samur-Eye,6,1597555829,23.97465
Samur-Eye,60,1594387899,11.987325
Samur-Eye,61,1603527967,27.171270000000003
Samur-Eye,62,1734166316,95.8986
Samur-Eye,63,1496347014,139.05297000000002
Samur-Eye,64,1714900385,239.74650000000003
Samur-Eye,68,1460748782,81.51381
Samur-Eye,67,1692726089,151.83945
Samur-Eye,69,1458461366,351.62820000000005
Samur-Eye,7,1566253458,60.735780000000005
Samur-Eye,71,1689794727,367.6113
Samur-Eye,72,1635580336,273.31101
Samur-Eye,8,1714136193,108.68508000000001
Samur-Eye,80,1525896723,199.78875000000002
Samur-Eye,9,1711814671,167.82255
Samur-Eye,56,1696947100,43.15437
Samur-Eye,77,1720047186,1598.3100000000002
Samur-Eye,76,1614797741,639.3240000000001
Samur-Eye,66,1714292458,73.52226
Samur-Eye,88,1685872703,95.8986
Samur-Eye,90,1711118388,463.5099
Samur-Eye,85,1643443977,247.73805000000002
Samur-Eye,65,1478983773,39.957750000000004
Samur-Eye,87,1727746668,399.57750000000004
Samur-Eye,70,1729283382,1238.69025
Samur-Eye,78,1532414893,247.73805000000002
Samur-Eye,44,1602276768,231.75495
Samur-Eye,89,1679624718,327.65355000000005
Samur-Eye,73,1563223121,519.4507500000001
Samur-Eye,107,1632870763,239.74650000000003
Samur-Eye,46,1664897749,1118.817
Samur-Eye,81,1420575653,218.96847000000002
Samur-Eye,83,1436297309,108.68508000000001
Noh Mercy,6,1706546155,559.4085
Noh Mercy,7,1518802595,843.90768
Noh Mercy,8,1711286444,1917.9720000000002
Noh Mercy,9,1573080553,1917.9720000000002
Noh Mercy,10,1710693259,1598.3100000000002
Noh Mercy,12,1714172430,767.1888
Noh Mercy,11,1652604128,958.9860000000001
Noh Mercy,13,1664895066,8071.4655
Noh Mercy,14,1727671143,3596.1975
Noh Mercy,15,1685613412,1070.8677
Noh Mercy,16,1676861202,1054.8846
Noh Mercy,17,1721149426,2237.634
Noh Mercy,18,1723928724,879.0705
Noh Mercy,19,1469108104,1454.4621000000002
Noh Mercy,29,1728200552,1142.7916500000001
Noh Mercy,30,1411742030,1901.9889
Noh Mercy,31,1711024362,687.2733000000001
Noh Mercy,32,1636191024,639.3240000000001
Noh Mercy,33,1557681387,535.43385
Noh Mercy,34,1581731200,1598.3100000000002
Noh Mercy,35,1665348993,895.0536000000001
Noh Mercy,36,1727988233,911.0367000000001
Geisha Boy,10,1705256695,199.78875000000002
Geisha Boy,11,1683376040,47.9493
Geisha Boy,12,1577023797,15.9831
Geisha Boy,13,1723738982,242.94312000000002
Geisha Boy,14,1728495228,255.7296
Geisha Boy,15,1496275651,23.97465
Geisha Boy,16,1685688841,36.76113
Geisha Boy,17,1712678921,239.74650000000003
Geisha Boy,18,1550125335,22.376340000000003
Geisha Boy,19,1711962398,255.7296
Geisha Boy,29,1712800821,27.171270000000003
Geisha Boy,30,1602409078,25.572960000000002
Geisha Boy,31,1671730543,13.585635000000002
Geisha Boy,32,1573916207,13.585635000000002
Geisha Boy,33,1467293425,19.179720000000003
Geisha Boy,34,1514176507,15.9831
Geisha Boy,35,1503065000,14.38479
Geisha Boy,36,1625760116,15.9831
Geisha Boy,37,1368184807,49.45
Geisha Boy,38,1720815004,551.41695
Geisha Boy,39,1585502327,87.90705000000001
Geisha Boy,40,1441719064,43.15437
Geisha Boy,44,1378101330,161.96
Geisha Boy,45,1482643866,175.81410000000002
Geisha Boy,56,1696753776,19.179720000000003
Geisha Boy,58,1709395255,111.88170000000001
Geisha Boy,59,1590812185,9.589860000000002
Geisha Boy,6,1440872620,19.179720000000003
Geisha Boy,60,1523721064,15.9831
Geisha Boy,61,1714172329,39.957750000000004
Geisha Boy,62,1703750842,62.33409
Geisha Boy,63,1587603123,59.13747000000001
Geisha Boy,64,1639867370,71.92395
Geisha Boy,67,1483541957,35.16282
Geisha Boy,68,1717175624,111.88170000000001
Geisha Boy,7,1531516204,47.9493
Geisha Boy,72,1401512043,81.51381
Geisha Boy,74,1477706001,239.74650000000003
Geisha Boy,75,1402117554,119.87325000000001
Geisha Boy,8,1726775783,68.72733000000001
Geisha Boy,9,1680439392,100.69353000000001
Geisha Boy,73,1477706014,239.74650000000003
Geisha Boy,57,1701106585,25.572960000000002
Geisha Boy,84,1482799987,79.91550000000001
Geisha Boy,87,1672481359,399.57750000000004
Geisha Boy,85,1629563502,479.49300000000005
Geisha Boy,69,1719526898,479.49300000000005
Geisha Boy,88,1728738321,159.83100000000002
Geisha Boy,78,1722956820,1598.3100000000002
Geisha Boy,79,1523646156,239.74650000000003
Geisha Boy,107,1480982831,94.30029
Geisha Boy,82,1558911320,151.83945
Geisha Boy,90,1634162981,175.81410000000002
Geisha Boy,66,1515395980,31.9662
Geisha Boy,70,1698629051,735.2226
Geisha Boy,65,1721305087,71.92395
Geisha Boy,89,1694967508,215.77185000000003
Geisha Boy,43,1546927104,215.77185000000003
Geisha Boy,46,1640948862,431.54370000000006
Geisha Boy,81,1717279129,1917.9720000000002
Geisha Boy,83,1551867056,63.9324
Nanobalaclava,10,1553519894,57.53916
Nanobalaclava,11,1594585449,15.9831
Nanobalaclava,12,1702719907,17.58141
Nanobalaclava,13,1649200548,132.65973
Nanobalaclava,14,1711869894,135.85635000000002
Nanobalaclava,15,1542651965,31.9662
Nanobalaclava,16,1635618589,23.97465
Nanobalaclava,17,1712748165,68.72733000000001
Nanobalaclava,18,1588249160,15.9831
Nanobalaclava,19,1527720969,41.55606
Nanobalaclava,29,1712075181,22.376340000000003
Nanobalaclava,30,1581074017,14.38479
Nanobalaclava,31,1450980968,17.58141
Nanobalaclava,32,1711962899,14.38479
Nanobalaclava,33,1562347655,13.585635000000002
Nanobalaclava,34,1645969873,17.58141
Nanobalaclava,35,1573847406,13.585635000000002
Nanobalaclava,36,1499526908,14.38479
Nanobalaclava,37,1707682217,95.8986
Nanobalaclava,38,1563497655,87.90705000000001
Nanobalaclava,39,1573307749,25.572960000000002
Nanobalaclava,40,1380681291,87.05
Nanobalaclava,43,1629014730,479.49300000000005
Nanobalaclava,44,1627921832,231.75495
Nanobalaclava,45,1493071169,137.45466000000002
Nanobalaclava,47,1653116079,479.49300000000005
Nanobalaclava,57,1594361558,11.987325
Nanobalaclava,58,1695123390,17.58141
Nanobalaclava,6,1690617793,12.786480000000001
Nanobalaclava,60,1499174729,19.179720000000003
Nanobalaclava,61,1609377186,19.179720000000003
Nanobalaclava,67,1722165612,43.15437
Nanobalaclava,68,1677761669,55.940850000000005
Nanobalaclava,7,1683332571,17.58141
Nanobalaclava,70,1672468058,287.6958
Nanobalaclava,71,1621374571,91.10367000000001
Nanobalaclava,74,1728200556,1022.9184
Nanobalaclava,77,1628407248,279.70425
Nanobalaclava,8,1724267285,51.145920000000004
Nanobalaclava,9,1632134835,79.91550000000001
Nanobalaclava,56,1712231552,20.77803
Nanobalaclava,66,1504840300,17.58141
Nanobalaclava,59,1597846157,10.389015
Nanobalaclava,62,1672046896,20.77803
Nanobalaclava,69,1405038203,86.30874
Nanobalaclava,72,1703006378,199.78875000000002
Nanobalaclava,73,1627511202,591.3747000000001
Nanobalaclava,64,1405145020,87.90705000000001
Nanobalaclava,78,1687198108,863.0874000000001
Nanobalaclava,76,1711915496,599.36625
Nanobalaclava,88,1725205200,46.35099
Nanobalaclava,65,1514327888,17.58141
Nanobalaclava,90,1726169295,127.8648
Nanobalaclava,87,1727417261,183.80565
Nanobalaclava,80,1474309377,159.83100000000002
Nanobalaclava,79,1497251717,127.8648
Nanobalaclava,84,1701775690,367.6113
Nanobalaclava,86,1638004214,102.29184000000001
Nanobalaclava,82,1599178199,159.83100000000002
Nanobalaclava,109,1727930522,47.9493
Nanobalaclava,89,1720416726,103.89015
Nanobalaclava,46,1525042941,87.90705000000001
Nanobalaclava,81,1550655961,191.7972
Company Man,10,1621895435,135.85635000000002
Company Man,11,1722268322,99.09522000000001
Company Man,12,1611268620,23.97465
Company Man,13,1704229689,319.66200000000003
Company Man,14,1719674227,431.54370000000006
Company Man,15,1581612134,55.940850000000005
Company Man,16,1622044007,46.35099
Company Man,17,1712082784,239.74650000000003
Company Man,18,1622038777,35.16282
Company Man,19,1727560326,148.64283
Company Man,29,1714924915,43.15437
Company Man,30,1570104866,31.9662
Company Man,31,1697746042,27.171270000000003
Company Man,32,1706179903,44.752680000000005
Company Man,33,1712171470,43.15437
Company Man,34,1648299996,30.367890000000003
Company Man,35,1588057772,17.58141
Company Man,36,1682977546,30.367890000000003
Company Man,37,1652880338,329.25186
Company Man,38,1714944722,751.2057000000001
Company Man,39,1718552029,255.7296
Company Man,40,1621749286,70.32564
Company Man,43,1617896988,1118.817
Company Man,44,1691178865,1358.5635000000002
Company Man,45,1627473514,826.32627
Company Man,47,1731267568,1310.6142000000002
Company Man,56,1712075495,46.35099
Company Man,57,1704386269,36.76113
Company Man,58,1709458269,79.91550000000001
Company Man,6,1496972513,51.145920000000004
Company Man,60,1727422221,35.16282
Company Man,61,1712172152,75.12057
Company Man,62,1577022613,39.957750000000004
Company Man,63,1677856988,319.66200000000003
Company Man,66,1705520914,119.87325000000001
Company Man,67,1714341101,132.65973
Company Man,69,1705325630,511.4592
Company Man,7,1589696890,23.97465
Company Man,70,1714482383,974.9691
Company Man,71,1726893504,1118.817
Company Man,72,1694194678,543.4254000000001
Company Man,8,1727287879,92.70198
Company Man,80,1570108143,358.02144000000004
Company Man,9,1640567672,167.82255
Company Man,73,1636046294,1454.4621000000002
Company Man,68,1708117470,116.67663
Company Man,59,1594703163,19.179720000000003
Company Man,84,1660104206,807.14655
Company Man,82,1457805587,148.64283
Company Man,87,1716039632,399.57750000000004
Company Man,90,1710766381,383.5944
Company Man,75,1579947174,332.44848
Company Man,89,1728273516,407.56905
Company Man,65,1661274191,143.8479
Company Man,85,1594915512,159.83100000000002
Company Man,64,1605135494,479.49300000000005
Company Man,109,1592684451,127.8648
Company Man,88,1710114557,223.76340000000002
Company Man,110,1551827210,102.29184000000001
Company Man,46,1574870809,623.3409
Company Man,83,1654637492,498.67272
Killer Exclusive,10,1712688368,375.60285000000005
Killer Exclusive,11,1623004852,86.30874
Killer Exclusive,12,1714172446,35.16282
Killer Exclusive,13,1717429547,974.9691
Killer Exclusive,14,1717216288,751.2057000000001
Killer Exclusive,15,1698343396,123.06987000000001
Killer Exclusive,17,1728061647,719.2395
Killer Exclusive,18,1714589624,94.30029
Killer Exclusive,19,1618129532,97.49691000000001
Killer Exclusive,29,1712092040,126.26649
Killer Exclusive,30,1720431084,118.27494000000002
Killer Exclusive,31,1690399695,35.16282
Killer Exclusive,32,1712179099,49.547610000000006
Killer Exclusive,33,1709835282,63.9324
Killer Exclusive,34,1691309640,39.957750000000004
Killer Exclusive,35,1654040270,71.92395
Killer Exclusive,36,1728096551,55.940850000000005
Killer Exclusive,38,1653109964,4635.099
Killer Exclusive,40,1601196585,383.5944
Killer Exclusive,45,1483993853,3356.4510000000005
Killer Exclusive,47,1469024479,1278.6480000000001
Killer Exclusive,56,1594959516,44.752680000000005
Killer Exclusive,57,1704214675,68.72733000000001
Killer Exclusive,58,1692207700,111.88170000000001
Killer Exclusive,59,1578688196,33.564510000000006
Killer Exclusive,6,1630094850,36.76113
Killer Exclusive,60,1596810664,36.76113
Killer Exclusive,61,1715655148,180.60903000000002
Killer Exclusive,62,1690396517,174.21579000000003
Killer Exclusive,63,1547155266,1038.9015000000002
Killer Exclusive,65,1406617076,254.13129
Killer Exclusive,66,1486185144,113.48001000000001
Killer Exclusive,68,1728177272,639.3240000000001
Killer Exclusive,69,1706526097,2157.7185
Killer Exclusive,72,1649920352,2077.8030000000003
Killer Exclusive,73,1585591071,3995.775
Killer Exclusive,76,1473443043,2077.8030000000003
Killer Exclusive,8,1706463172,147.04452
Killer Exclusive,9,1698340804,246.13974000000002
Killer Exclusive,78,1557772034,1758.141
Killer Exclusive,16,1712494618,127.8648
Killer Exclusive,7,1712761702,51.145920000000004
Killer Exclusive,64,1407564507,1396.9229400000002
Killer Exclusive,79,1676861768,6792.8175
Killer Exclusive,86,1715896556,1230.6987000000001
Killer Exclusive,90,1717279756,1038.9015000000002
Killer Exclusive,84,1674671445,3995.775
Killer Exclusive,88,1721601341,439.53525
Killer Exclusive,85,1431903394,335.6451
Killer Exclusive,71,1730027221,2637.2115000000003
Killer Exclusive,89,1630538124,570.59667
Killer Exclusive,44,1592778434,1997.8875
Killer Exclusive,80,1599178614,1964.3229900000001
Killer Exclusive,87,1676777364,2397.465
Killer Exclusive,39,1572645120,263.72115
Killer Exclusive,107,1733038234,423.55215000000004
Killer Exclusive,74,1638513935,5274.423000000001
Killer Exclusive,109,1728096344,255.7296
Killer Exclusive,110,1690409754,335.6451
Killer Exclusive,108,1711118299,343.63665000000003
Killer Exclusive,37,1495124329,596.1696300000001
Killer Exclusive,67,1513611969,639.3240000000001
Killer Exclusive,70,1727983192,3548.2482000000005
Killer Exclusive,46,1434311683,3356.4510000000005
Human Cannonball,11,1681634867,30.367890000000003
Human Cannonball,13,1684534921,108.68508000000001
Human Cannonball,17,1590827623,78.31719000000001
Human Cannonball,18,1723739337,27.171270000000003
Human Cannonball,29,1638609715,30.367890000000003
Human Cannonball,30,1704299154,33.564510000000006
Human Cannonball,31,1695124212,17.58141
Human Cannonball,32,1685826584,20.77803
Human Cannonball,33,1693958929,25.572960000000002
Human Cannonball,34,1596810545,17.58141
Human Cannonball,35,1594643044,28.76958
Human Cannonball,36,1734830723,23.97465
Human Cannonball,37,1409405103,206.18199
Human Cannonball,38,1563304086,145.44621
Human Cannonball,39,1414418563,421.95384
Human Cannonball,40,1553354408,95.8986
Human Cannonball,44,1726559878,607.3578
Human Cannonball,45,1627600765,719.2395
Human Cannonball,47,1585925297,351.62820000000005
Human Cannonball,56,1712101648,30.367890000000003
Human Cannonball,57,1737278115,23.97465
Human Cannonball,58,1573869035,22.376340000000003
Human Cannonball,59,1712078957,20.77803
Human Cannonball,6,1581519320,30.367890000000003
Human Cannonball,60,1696328870,23.97465
Human Cannonball,61,1711991246,41.55606
Human Cannonball,62,1609539958,33.564510000000006
Human Cannonball,63,1692280505,183.80565
Human Cannonball,65,1652313847,63.9324
Human Cannonball,66,1383891242,121.22
Human Cannonball,7,1684671164,23.97465
Human Cannonball,71,1605282830,169.42086
Human Cannonball,77,1726782560,1438.479
Human Cannonball,12,1715540515,27.171270000000003
Human Cannonball,79,1445042758,108.68508000000001
Human Cannonball,82,1649972903,623.3409
Human Cannonball,89,1717364914,239.74650000000003
Human Cannonball,87,1734799897,330.85017000000005
Human Cannonball,64,1503757831,159.83100000000002
Human Cannonball,9,1711938172,100.69353000000001
Human Cannonball,69,1641391623,306.87552000000005
Human Cannonball,67,1673903696,55.940850000000005
Human Cannonball,88,1592566604,76.71888000000001
Human Cannonball,19,1713175321,33.564510000000006
Human Cannonball,90,1492037688,135.85635000000002
Human Cannonball,68,1714143506,89.50536000000001
Human Cannonball,80,1722166971,2237.634
Human Cannonball,15,1593619543,31.9662
Human Cannonball,16,1685105294,46.35099
Human Cannonball,74,1457662983,431.54370000000006
Human Cannonball,10,1712688279,86.30874
Human Cannonball,110,1727546473,105.48846
Human Cannonball,85,1726903524,535.43385
Human Cannonball,108,1736692226,131.06142
Human Cannonball,107,1591546001,55.940850000000005
Human Cannonball,109,1651408324,67.12902000000001
Human Cannonball,14,1712096660,134.25804000000002
Human Cannonball,8,1681710001,33.564510000000006
Human Cannonball,76,1556644077,330.85017000000005
Human Cannonball,46,1419830251,792.7617600000001
Human Cannonball,81,1533528366,479.49300000000005
Human Cannonball,83,1587288246,175.81410000000002
Glengarry Bonnet,10,1693957680,131.06142
Glengarry Bonnet,11,1594389281,17.58141
Glengarry Bonnet,12,1507295474,12.786480000000001
Glengarry Bonnet,13,1713927555,207.7803
Glengarry Bonnet,14,1727284437,303.6789
Glengarry Bonnet,15,1708788907,51.145920000000004
Glengarry Bonnet,16,1604864994,27.171270000000003
Glengarry Bonnet,17,1692281973,143.8479
Glengarry Bonnet,18,1687005264,28.76958
Glengarry Bonnet,19,1682286988,49.547610000000006
Glengarry Bonnet,29,1562340439,17.58141
Glengarry Bonnet,31,1594427601,12.786480000000001
Glengarry Bonnet,30,1630190917,38.359440000000006
Glengarry Bonnet,32,1538166458,12.786480000000001
Glengarry Bonnet,33,1589950821,14.38479
Glengarry Bonnet,34,1533998537,14.38479
Glengarry Bonnet,35,1573847528,11.188170000000001
Glengarry Bonnet,36,1609711602,12.786480000000001
Glengarry Bonnet,37,1640956658,84.71043
Glengarry Bonnet,38,1720646414,375.60285000000005
Glengarry Bonnet,39,1674534379,87.90705000000001
Glengarry Bonnet,40,1626352496,39.957750000000004
Glengarry Bonnet,43,1593235822,319.66200000000003
Glengarry Bonnet,44,1362604940,225.53
Glengarry Bonnet,45,1714485289,519.4507500000001
Glengarry Bonnet,56,1672893506,31.9662
Glengarry Bonnet,58,1634949188,35.16282
Glengarry Bonnet,59,1711825764,22.376340000000003
Glengarry Bonnet,6,1588249031,14.38479
Glengarry Bonnet,60,1692953912,15.9831
Glengarry Bonnet,61,1556453013,31.9662
Glengarry Bonnet,62,1729309696,62.33409
Glengarry Bonnet,63,1518891724,39.957750000000004
Glengarry Bonnet,64,1421946484,47.9493
Glengarry Bonnet,65,1714170469,46.35099
Glengarry Bonnet,68,1626351603,28.76958
Glengarry Bonnet,7,1593278263,14.38479
Glengarry Bonnet,70,1650700074,319.66200000000003
Glengarry Bonnet,71,1627646672,159.83100000000002
Glengarry Bonnet,8,1698857108,71.92395
Glengarry Bonnet,9,1604394213,59.13747000000001
Glengarry Bonnet,72,1604224431,183.80565
Glengarry Bonnet,57,1589949668,12.786480000000001
Glengarry Bonnet,78,1631482808,623.3409
Glengarry Bonnet,80,1687032944,823.1296500000001
Glengarry Bonnet,77,1528035468,158.23269000000002
Glengarry Bonnet,76,1620162035,455.51835000000005
Glengarry Bonnet,86,1692808568,226.96002000000001
Glengarry Bonnet,88,1699785973,79.91550000000001
Glengarry Bonnet,87,1630364535,319.66200000000003
Glengarry Bonnet,74,1712600568,1758.141
Glengarry Bonnet,89,1499191167,71.92395
Glengarry Bonnet,107,1499115463,55.940850000000005
Glengarry Bonnet,67,1714172195,71.92395
Glengarry Bonnet,73,1644032308,1118.817
Glengarry Bonnet,79,1578304752,319.66200000000003
Glengarry Bonnet,69,1730795992,311.67045
Glengarry Bonnet,82,1676413086,527.4423
Glengarry Bonnet,46,1609107175,175.81410000000002
Anger,10,1618130045,143.8479
Anger,11,1701725392,79.91550000000001
Anger,12,1721229085,87.90705000000001
Anger,13,1724887630,1278.6480000000001
Anger,14,1596149706,319.66200000000003
Anger,15,1585454256,70.32564
Anger,16,1460915551,119.87325000000001
Anger,17,1707252644,375.60285000000005
Anger,18,1725204975,131.06142
Anger,19,1720375983,247.73805000000002
Anger,29,1700657236,116.67663
Anger,30,1640127407,91.10367000000001
Anger,31,1735108706,71.92395
Anger,32,1603443237,39.957750000000004
Anger,33,1596811398,43.15437
Anger,34,1730172100,86.30874
Anger,35,1725204712,116.67663
Anger,36,1615571676,47.9493
Anger,37,1707576332,453.92004000000003
Anger,38,1737641159,1294.6311
Anger,39,1727087725,351.62820000000005
Anger,40,1698858161,655.3071000000001
Anger,45,1607353880,383.5944
Anger,47,1715175350,1758.141
Anger,56,1686946939,71.92395
Anger,57,1725204869,116.67663
Anger,58,1727555172,105.48846
Anger,59,1736266255,79.91550000000001
Anger,6,1430061437,57.53916
Anger,60,1587603393,35.16282
Anger,61,1712081863,127.8648
Anger,62,1704393001,151.83945
Anger,64,1700746702,495.47610000000003
Anger,65,1664228541,70.32564
Anger,68,1736986323,202.98537000000002
Anger,69,1423076096,415.5606
Anger,7,1717484605,63.9324
Anger,71,1685609610,743.21415
Anger,72,1598090642,228.55833
Anger,8,1573897489,135.85635000000002
Anger,9,1708452031,191.7972
Anger,70,1734284358,791.16345
Anger,73,1719295120,1949.9382
Anger,44,1417196364,234.95157
Anger,89,1425123278,258.92622
Anger,76,1663460033,1582.3269
Anger,75,1707569264,1318.6057500000002
Anger,88,1737511992,359.61975
Anger,74,1603399069,871.0789500000001
Anger,87,1732139269,698.4614700000001
Anger,79,1632806815,1598.3100000000002
Anger,108,1595306085,97.49691000000001
Anger,90,1670090415,559.4085
Anger,43,1627557023,1534.3776
Anger,63,1683334219,399.57750000000004
Anger,109,1708121282,1374.5466000000001
Anger,46,1694976630,1278.6480000000001
Anger,83,1499347512,151.83945
Texas Ten Gallon,10,1719251166,399.57750000000004
Texas Ten Gallon,11,1631629875,60.735780000000005
Texas Ten Gallon,12,1714290588,47.9493
Texas Ten Gallon,13,1625969711,239.74650000000003
Texas Ten Gallon,14,1705696020,375.60285000000005
Texas Ten Gallon,15,1692811762,118.27494000000002
Texas Ten Gallon,16,1610611888,103.89015
Texas Ten Gallon,17,1678134617,287.6958
Texas Ten Gallon,18,1683708278,83.11212
Texas Ten Gallon,19,1722531871,143.8479
Texas Ten Gallon,29,1678134939,70.32564
Texas Ten Gallon,30,1592087570,47.9493
Texas Ten Gallon,31,1720170408,76.71888000000001
Texas Ten Gallon,32,1677853943,59.13747000000001
Texas Ten Gallon,33,1684775405,68.72733000000001
Texas Ten Gallon,34,1670752660,38.359440000000006
